Timestamp,station,PM2.5,PM10,address,city,latitude,longitude,state
01-01-2017,"32Bungalows, Bhilai - CECB",,,"Bhilai RO Office, 5, 32 Bungalows, Bhilai, Dist.- Durg, Chhattisgarh",Bhilai,21.194815,81.31477,Chhattisgarh
01-01-2017,"AIIMS, Raipur - CECB",,,"All India Institute Of Medical Science, Gate No. 4, Great Eastern Road, Tatibandh, Raipur, Chhattisgarh.",Raipur,21.258815,81.578979,Chhattisgarh
01-01-2017,"Adarsh Nagar, Jaipur - RSPCB",,,"Psychiatric Centre, Janta Colony, Govind Marg, Adarsh Nagar, Jaipur.",Jaipur,26.902909,75.836858,Rajasthan
01-01-2017,"Airoli, Navi Mumbai - MPCB",,54.7437234,,Navi Mumbai,19.1494,72.9986,Maharashtra
01-01-2017,"Airport Area, Indore - IMC",,,,,,,
01-01-2017,"Alandi, Pune - IITM",,,"System Of Air Quality And weather Forecasting Research MIT Academy Of Engineering Dehu Phata, Alandi",Pune,18.675076,73.892743,Maharashtra
01-01-2017,"Alandur Bus Depot, Chennai - CPCB",43.40197917,,"MKN Rd, St Thomas Mount, Chennai, Tamil Nadu 600016",Chennai,12.9099161,80.1076538,Tamil Nadu
01-01-2017,"Alipur, Delhi - DPCC",,,"Mahatma Gandhi Insititute for Combating Climate Change, Bakthawarpur Road. Bakoli, Alipur Delhi-110036",Delhi,28.815329,77.15301,Delhi
01-01-2017,"Ambazari, Nagpur - MPCB",,,"Beside SBI VRC Opp. to NPTI South, Ambazari Road, Ambazari, Nagpur.",Nagpur,21.121801,79.04952,Maharashtra
01-01-2017,"Anand Kala Kshetram, Rajamahendravaram - APPCB",,,"Sri Venkateswara Anam Kala Kendram, Lakshmivarapu Pet, Seshayyamet, Rajamahendravaram, Andhra Pradesh - 533101",Rajamahendravaram,16.9872867,81.7363176,Andhra Pradesh
01-01-2017,"Anand Vihar, Delhi - DPCC",199.5141667,360.5677083,,Delhi,28.647622,77.315809,Delhi
01-01-2017,"Anand Vihar, Hapur - UPPCB",,,"New Collectorate Building, Anand Vihar, Delhi - Hapur Road, Hapur.",Hapur,28.725645,77.749675,Uttar Pradesh
01-01-2017,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",,,"EPIP Building, SIPCOT Industrial Estate Road, Near to SIPCOT Fire and Police Station, Gummidipoondi",Gummidipoondi,13.4127,80.1081,Tamil Nadu
01-01-2017,"Ardhali Bazar, Varanasi - UPPCB",166.3221111,213.937,"Ordali Bazar, Tagore Town, Orderly Bazar, Varanasi, Uttar Pradesh 221002",Varanasi,25.3505986,82.9083074,Uttar Pradesh
01-01-2017,"Arumbakkam, Chennai - TNPCB",,,"4 and 5, Murugesan Street, Balavinayagar Nagar, Arumbakkam, chennai - 600106 (opposite side of vijay park hotel - 100 Feet Road)",Chennai,13.0664,80.2112,Tamil Nadu
01-01-2017,"Arya Nagar, Bahadurgarh - HSPCB",,,"Mini secretariat 301/13, Balaur Rd Kashmiri Colony, Balaur Rd, Kashmiri Colony, Arya Nagar, Bahadurgarh",Bahadurgarh,28.6701,76.9254,Haryana
01-01-2017,"Asansol Court Area, Asansol - WBPCB",,,"SDM Bunglow, Near Asansol Girls Collage, Near Asansol Court, Asansol, Dist- Burdwan, Asansol.",Asansol,23.685297,86.945968,West Bengal
01-01-2017,"Ashok Nagar, Udaipur - RSPCB",,,"Department of Mines and Geology Office, Near Court Chauk, Ashok Nagar, Udaipur.",Udaipur,24.5886166,73.6321397,Rajasthan
01-01-2017,"Ashok Vihar, Delhi - DPCC",,,,Delhi,28.695381,77.181665,Delhi
01-01-2017,"Ashwini Nagar, Haveri - KSPCB",,,"Plot No 1, Survey NO 180A, 3rd Cross, Shivaji nagara, Ashwini nagar, Haveri",Haveri,14.7918,75.3896,Karnataka
01-01-2017,"Aya Nagar, Delhi - IMD",,,,Delhi,28.4706914,77.1099364,Delhi
01-01-2017,"B R Ambedkar University, Lucknow - UPPCB",,,Babasaheb bhimrao ambedkar University Vidya vihar Raibarelly road Lucknow,Lucknow,26.766433,80.927299,Uttar Pradesh
01-01-2017,"B.Katihalli, Hassan - KSPCB",,,"Karnataka State Pollution Control Board Plot No 1A, Parisara Bhavan, C Block, B Katihalli Indl Area, B M Road Hassan",Hassan,13.008556,76.125258,Karnataka
